id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7158524,https://www.boattrader.com/listing/2007-tige-rz2-103631957/,power,power-skiwake,Tige,RZ2,2007,used,22,8.5,3900,2019-07-25T11:30:24.000Z,fiberglass,other,1,0,,,,32900,38332,Willis,US,TX,77318
6932509,https://www.boattrader.com/listing/2019-alumacraft-classic-165-sport-103470621/,power,power-aluminum,Alumacraft,Classic 165 Sport,2019,new,16.33,6.67,955,2018-12-08T13:30:26.000Z,aluminum,other,1,0,,,,17995,34821,Madera,US,CA,93636
7003400,https://www.boattrader.com/listing/2019-g3-bay-20-dlx-103518783/,power,power-bay,G3,Bay 20 DLX,2019,new,20.25,8.08,1360,2019-03-01T10:30:21.000Z,aluminum,other,1,0,,,,33000,32210,Afton,US,OK,74331
7129848,https://www.boattrader.com/listing/2020-sportsman-masters-227-103612336/,power,power-bay,Sportsman,Masters 227,2020,new,22.33,,,2019-06-27T05:30:22.000Z,fiberglass,other,1,0,,,,56995,37214,Lake City,US,FL,32055
6944916,https://www.boattrader.com/listing/2019-crest-caribbean-250-sls-103479562/,power,power-pontoon,Crest,Caribbean 250 SLS,2019,new,25.67,8.5,3644,2018-12-27T11:30:13.000Z,aluminum,other,1,0,,,,69064,12667,Kaukauna,US,WI,54130
7009263,https://www.boattrader.com/listing/2019-manitou-23-ses-bar-shp-103522819/,power,power-pontoon,Manitou,23 SES BAR SHP,2019,new,24.33,,3100,2019-03-07T12:30:21.000Z,aluminum,other,1,0,,,,74995,34821,Madera,US,CA,93636
7223676,https://www.boattrader.com/listing/2020-sweetwater-sweetwater-2286-stern-flip-lounge-103680592/,power,power-pontoon,Sweetwater,Sweetwater 2286 Stern Flip Lounge,2020,new,22,,,2019-09-19T11:30:31.000Z,aluminum,other,1,0,,,,43953,51135,Coloma,US,MI,49038
7002474,https://www.boattrader.com/listing/2019-four-winns-vista-255-ob-103518102/,power,power-cruiser,Four Winns,Vista 255 OB,2019,new,25.17,8.42,6350,2019-02-28T13:30:22.000Z,fiberglass,other,1,0,,,,119995,34610,Memphis,US,TN,38111
7026185,https://www.boattrader.com/listing/2019-crestliner-1650-discovery-sc-103535691/,power,power-aluminum,Crestliner,1650 Discovery SC,2019,new,16.5,6.33,875,2019-03-22T12:30:13.000Z,aluminum,other,1,0,,,,15854,12667,Kaukauna,US,WI,54130
6759246,https://www.boattrader.com/listing/2019-monterey-m205-103350762/,power,power-bowrider,Monterey,M205,2019,new,20,8.33,3100,2018-06-27T14:30:27.000Z,fiberglass,other,1,0,,,,41698,12703,St Peters,US,MO,63376
7124483,https://www.boattrader.com/listing/2002-aurora-18-103608904/,power,power-pontoon,Aurora,18,2002,used,16.92,8,1180,2019-06-22T09:30:14.000Z,aluminum,other,1,0,,,,8999,12667,Kaukauna,US,WI,54130
