id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7025873,https://www.boattrader.com/listing/2019-lund-ssv-14-tiller-103535424/,power,power-aluminum,Lund,SSV-14 Tiller,2019,new,14,5,,2019-03-22T11:19:15.000Z,aluminum,other,1,0,,,,5995,5107,Las Vegas,US,NV,89121
7236680,https://www.boattrader.com/listing/2018-crownline-225-ss-103690599/,power,power-unspec,Crownline,225 SS,2018,used,22,,,2019-10-01T17:02:43.000Z,other,other,1,0,,,,59999,34467,Naples,US,ME,04055
7169569,https://www.boattrader.com/listing/1998-bennington-2275lx-103640068/,power,power-pontoon,Bennington,2275LX,1998,used,23,,,2019-08-03T17:03:49.000Z,aluminum,other,1,0,,,,11999,6568,Nashotah,US,WI,53058
6919865,https://www.boattrader.com/listing/2019-crest-crest-ii-240-sl-103462993/,power,power-pontoon,Crest,Crest II 240 SL,2019,new,24,9,,2018-11-26T07:37:35.000Z,aluminum,other,1,0,,,,50340,34467,Naples,US,ME,04055
6859477,https://www.boattrader.com/listing/2019-bennington-21slx-103424819/,power,power-pontoon,Bennington,21SLX,2019,new,22,86,,2018-09-28T17:02:32.000Z,aluminum,other,1,0,,,,39998,34996,Buford,US,GA,30518
6927804,https://www.boattrader.com/listing/2019-yamaha-boats-superjet-103468323/,power,power-unspec,Yamaha Boats,SUPERJET,2019,new,7,27,,2018-12-04T16:05:40.000Z,fiberglass,other,1,0,,,,8499,34467,Naples,US,ME,04055
7100405,https://www.boattrader.com/listing/1992-northwoods-824fc-sunrise-103593184/,power,power-pontoon,Northwoods,824FC Sunrise,1992,used,24,,,2019-06-02T09:01:56.000Z,aluminum,other,1,0,,,,4999,53222,Elkhorn,US,WI,53121
7263441,https://www.boattrader.com/listing/2003-glastron-gx-205-103710136/,power,power-deck,Glastron,GX 205,2003,used,19,,,2019-10-25T17:14:19.000Z,other,other,1,0,,,,10900,5365,Durham,US,NC,27703
7045907,https://www.boattrader.com/listing/2019-mastercraft-x22-103550382/,power,power-skiwake,Mastercraft,x22,2019,new,22,102,,2019-04-11T06:34:17.000Z,fiberglass,other,1,0,,,,179000,219484,Polk City,US,FL,33868
7216553,https://www.boattrader.com/listing/2020-sportsman-227-masters-103675490/,power,power-center,Sportsman,227 MASTERS,2020,new,22,,,2019-09-12T17:04:13.000Z,fiberglass,other,1,0,,,,63642,10174,Cape Coral,US,FL,33904
7201738,https://www.boattrader.com/listing/2014-nautique-g21-103664125/,power,power-skiwake,Nautique,G21,2014,used,21,,,2019-08-31T17:04:36.000Z,fiberglass,other,1,0,,,,79999,53222,Elkhorn,US,WI,53121
7152132,https://www.boattrader.com/listing/2019-seaark-1648-special-103627785/,power,power-jon,SeaArk,1648 Special,2019,new,16,,,2019-07-18T16:44:41.000Z,aluminum,other,1,0,,,,9190,12760,Ocala,US,FL,34475
7241132,https://www.boattrader.com/listing/2008-mastercraft-x-45-103694181/,power,power-skiwake,Mastercraft,X-45,2008,used,24,102,,2019-10-04T17:08:29.000Z,other,other,1,0,,,,48995,28107,Fort Worth,US,TX,76118
6901829,https://www.boattrader.com/listing/2019-hurricane-218-ss-103453497/,power,power-deck,Hurricane,218 SS,2019,new,21,,,2018-11-06T16:06:33.000Z,fiberglass,other,1,0,,,,44495,10174,Cape Coral,US,FL,33904
6213632,https://www.boattrader.com/listing/2017-cobalt-a40-coupe-103042665/,power,power-cruiser,Cobalt,A40 Coupe,2017,new,40,,,2017-04-23T03:47:33.000Z,fiberglass,other,1,0,,,,499995,53227,Naples,US,FL,34104
6561919,https://www.boattrader.com/listing/2018-nautique-gs20-103212240/,power,power-skiwake,Nautique,GS20,2018,used,20,,,2017-12-15T18:30:37.000Z,fiberglass,other,1,0,,,,94999,53226,Prairie Grove,US,IL,60012
7211340,https://www.boattrader.com/listing/1999-four-winns-180-horizon-103671007/,power,power-runabout,Four Winns,180 Horizon,1999,used,18,,,2019-09-09T13:27:12.000Z,other,other,1,0,,,,7143,57506,Comstock Park,US,MI,49321
7244495,https://www.boattrader.com/listing/2020-seaark-rxt-180-cc-tunnel-103696419/,power,power-jon,SeaArk,RXT 180 CC Tunnel,2020,new,18,,,2019-10-08T16:55:39.000Z,aluminum,other,1,0,,,,25295,12760,Ocala,US,FL,34475
7121190,https://www.boattrader.com/listing/2019-robalo-246-cayman-103606422/,power,power-bay,Robalo,246 Cayman,2019,used,24,9,,2019-06-19T17:02:26.000Z,fiberglass,other,1,0,,,,85332,221414,Greensboro,US,GA,30642
7249175,https://www.boattrader.com/listing/2019-bayliner-xr7-103699603/,power,power-deck,Bayliner,XR7,2019,used,25,8,,2019-10-12T17:10:43.000Z,fiberglass,other,1,0,,,,59995,5107,Las Vegas,US,NV,89121
6919899,https://www.boattrader.com/listing/2017-nautique-super-air-nautique-230-103463026/,power,power-skiwake,Nautique,Super Air Nautique 230,2017,used,23,8,,2018-11-26T07:37:44.000Z,fiberglass,other,1,0,,,,84999,34467,Naples,US,ME,04055
6922594,https://www.boattrader.com/listing/2019-bennington-25qxsbw-103464853/,power,power-pontoon,Bennington,25QXSBW,2019,new,27,86,,2018-11-28T16:03:13.000Z,aluminum,other,1,0,,,,106998,34996,Buford,US,GA,30518
