id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7241200,https://www.boattrader.com/listing/2020-alumacraft-pro-103694219/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-10-04T23:33:09.000Z,other,other,1,0,,,,19995,259035,Durant,US,OK,74701
7194159,https://www.boattrader.com/listing/2019-bayliner-element-103658557/,power,power-bowrider,Bayliner,Element,2019,new,21,,,2019-08-23T23:08:45.000Z,other,other,1,0,,,,28916,259035,Durant,US,OK,74701
7193419,https://www.boattrader.com/listing/2019-bayliner-bowrider-103657911/,power,power-bowrider,Bayliner,Bowrider,2019,new,19,,,2019-08-23T12:41:55.000Z,other,other,1,0,,,,28331,259035,Durant,US,OK,74701
7194171,https://www.boattrader.com/listing/2019-heyday-6-0l-pcm-crusader-409hp--103658552/,power,power-skiwake,Heyday,6.0L PCM CRUSADER (409HP),2019,new,25,,,2019-08-23T23:08:55.000Z,other,other,1,0,,,,57026,259035,Durant,US,OK,74701
7193429,https://www.boattrader.com/listing/2019-bayliner-element-103657935/,power,power-bowrider,Bayliner,Element,2019,new,16,,,2019-08-23T12:41:56.000Z,other,other,1,0,,,,16846,259035,Durant,US,OK,74701
7194157,https://www.boattrader.com/listing/2019-bayliner-bowrider-103658556/,power,power-bowrider,Bayliner,Bowrider,2019,new,20,,,2019-08-23T23:08:45.000Z,other,other,1,0,,,,29876,259035,Durant,US,OK,74701
7194166,https://www.boattrader.com/listing/2019-bayliner-element-103658548/,power,power-bowrider,Bayliner,Element,2019,new,18,,,2019-08-23T23:08:47.000Z,other,other,1,0,,,,22246,259035,Durant,US,OK,74701
7241199,https://www.boattrader.com/listing/2020-alumacraft-pro-103694211/,power,power-fresh,Alumacraft,Pro,2020,new,18,,,2019-10-04T23:33:09.000Z,other,other,1,0,,,,23995,259035,Durant,US,OK,74701
7194163,https://www.boattrader.com/listing/2019-bayliner-element-103658549/,power,power-bowrider,Bayliner,Element,2019,new,21,,,2019-08-23T23:08:47.000Z,other,other,1,0,,,,28916,259035,Durant,US,OK,74701
7254660,https://www.boattrader.com/listing/2020-bennington-20sfv-103702982/,power,power-pontoon,Bennington,20SFV,2020,used,21,,,2019-10-17T23:21:21.000Z,other,other,1,0,,,,20835,10610,Rochester,US,MN,55901
7193738,https://www.boattrader.com/listing/2019-manitou-oasis-103658223/,power,power-pontoon,Manitou,Oasis,2019,new,23,,,2019-08-23T13:28:16.000Z,other,other,1,0,,,,50000,32348,Kingston,US,OK,73439
7195107,https://www.boattrader.com/listing/2020-manitou-legacy-103659265/,power,power-pontoon,Manitou,Legacy,2020,new,25,,,2019-08-25T23:03:54.000Z,other,other,1,0,,,,139495,32348,Kingston,US,OK,73439
