id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7252689,https://www.boattrader.com/listing/1992-aquasport-210-cc-103701772/,power,power-center,Aquasport,210 CC,1992,used,21,8.5,3000,2019-10-16T10:45:01.000Z,fiberglass,gasoline,1,150,,,outboard-4s,16500,217053,Englewood,US,FL,34224
7016498,https://www.boattrader.com/listing/2020-glasstream-240-ccx-103528831/,power,power-center,Glasstream,240 CCX,2020,new,24,8.25,3300,2019-03-13T12:47:16.000Z,fiberglass,gasoline,1,200,2020,2020,outboard,,35282,Punta Gorda,US,FL,33950
7228300,https://www.boattrader.com/listing/2018-formula-400-super-sport-103697090/,power,power-sportcruiser,Formula,400 Super Sport,2018,used,40,11,16100,2019-09-24T10:14:43.000Z,fiberglass,diesel,2,800,2018,2018,inboard-outboard,539000,44260,Harsens Island,US,MI,48028
5841592,https://www.boattrader.com/listing/2020-glasstream-228-bay-tournament-102797389/,power,power-bay,Glasstream,228 Bay Tournament,2020,new,22.83,8,2300,2016-06-15T15:13:41.000Z,fiberglass,gasoline,1,200,2020,2020,outboard,,61621,,US,,33950
7271336,https://www.boattrader.com/listing/2020-bayliner-element-180-103715314/,power,power-deck,Bayliner,Element 180,2020,new,18,7.42,2000,2019-11-02T07:56:29.000Z,fiberglass,gasoline,1,75,2019,2019,outboard-4s,26995,220570,Marietta,US,OH,45750
7222952,https://www.boattrader.com/listing/2015-regal-32-express-103680063/,power,power-expresscruiser,Regal,32 Express,2015,used,32,10.33,12650,2019-09-19T06:06:26.000Z,fiberglass,gasoline,2,600,,,multiple,169995,34834,North Charleston,US,SC,29405
4442873,https://www.boattrader.com/listing/2020-glasstream-221-cc-102091038/,power,power-center,Glasstream,221 CC,2020,new,22,8.08,,2013-08-22T04:12:54.000Z,composite,gasoline,1,150,2020,2020,outboard,,61621,Punta Gorda,US,FL,33950
6824832,https://www.boattrader.com/listing/1994-carver-440-aft-cabin-motor-yacht-103703851/,power,power-aft,Carver,440 Aft Cabin Motor Yacht,1994,used,44,15,32000,2018-08-29T10:58:36.000Z,fiberglass,diesel,2,700,1994,1994,inboard,109900,17942,Middle River,US,MD,21220
7240180,https://www.boattrader.com/listing/2019-azimut-43-103693443/,power,power-cruiser,Azimut,43,2019,used,43,13.92,29650,2019-10-04T07:10:12.000Z,fiberglass,diesel,2,800,,,multiple,625000,28771,Miami,US,FL,33140
6851456,https://www.boattrader.com/listing/2019-galeon-470-sky-103473460/,power,power-mega,Galeon,470 SKY,2019,new,46,14.33,36817,2018-09-21T11:21:33.000Z,fiberglass,diesel,2,1100,,,inboard,949000,44179,Port Clinton,US,OH,43452
6851563,https://www.boattrader.com/listing/2019-galeon-500-fly-103469466/,power,power-mega,Galeon,500 Fly,2019,new,50,19.67,50155,2018-09-21T12:11:51.000Z,fiberglass,diesel,2,1340,,,inboard,1349000,44179,Port Clinton,US,OH,43452
5366255,https://www.boattrader.com/listing/2020-glasstream-221-cc-102584129/,power,power-center,Glasstream,221 CC,2020,new,22,8.08,2300,2015-08-29T10:51:52.000Z,composite,gasoline,1,150,2020,2020,outboard,,61621,Punta Gorda,US,FL,33950
6952573,https://www.boattrader.com/listing/2009-johnson-raised-pilot-house-103530569/,power,power-flybridge,Johnson,Raised Pilot House,2009,used,103,23.42,178000,2019-01-09T15:13:32.000Z,fiberglass,diesel,2,3650,,,inboard,3299000,28771,Miami,US,FL,33131
