id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
6829341,https://www.boattrader.com/listing/2019-skeeter-250-zx-103402545/,power,power-bass,Skeeter,250 Zx,2019,new,20,,,2018-09-02T22:17:35.000Z,fiberglass,other,1,0,,,,58995,34404,Lyme,US,CT,06371
6813963,https://www.boattrader.com/listing/2018-g3-18-dk-shdw-103391483/,power,power-jon,G3,18 DK SHDW,2018,new,18,,,2018-08-19T07:57:40.000Z,other,other,1,0,,,,9999,34482,Mecosta,US,MI,49332
7135539,https://www.boattrader.com/listing/2019-scout-xsf-sportfish-235-xsf-103616458/,power,power-sportfish,Scout,XSF SPORTFISH 235 XSF,2019,new,23.05,8.06,,2019-07-02T11:27:24.000Z,fiberglass,gasoline,1,0,,,outboard,104034,57470,Canton,US,GA,30114
7136409,https://www.boattrader.com/listing/2019-ranger-bay-ranger-series-2510-bay-103617334/,power,power-center,Ranger,Bay Ranger Series 2510 Bay,2019,new,24.07,8.03,,2019-07-02T14:23:23.000Z,fiberglass,gasoline,1,0,,,outboard,99900,61782,Miami,US,FL,33510
6813912,https://www.boattrader.com/listing/2018-starcraft-ex-20-f4-103391429/,power,power-pontoon,Starcraft,EX 20 F4,2018,new,20,,,2018-08-19T07:36:24.000Z,other,other,1,0,,,,15799,34482,Mecosta,US,MI,49332
7245981,https://www.boattrader.com/listing/2014-bryant-calandra-103697441/,power,power-bowrider,Bryant,Calandra,2014,used,24,,,2019-10-09T17:13:07.000Z,other,other,1,0,,,,52900,57993,Seneca,US,SC,29678
7156402,https://www.boattrader.com/listing/2017-stingray-191dc-103630548/,power,power-other,Stingray,191DC,2017,used,19,,,2019-07-23T16:45:36.000Z,other,other,1,0,,,,21995,165498,Charleston,US,SC,29455
6718237,https://www.boattrader.com/listing/2018-sylvan-s3-port-rpt-103322954/,power,power-pontoon,Sylvan,S3 Port RPT,2018,new,24,,,2018-05-20T03:31:57.000Z,aluminum,other,1,0,,,,47900,5365,Durham,US,NC,27703
7244523,https://www.boattrader.com/listing/2020-sun-tracker-bass-buggy-18-w-60-elpt-4s-ct-103696430/,power,power-pontoon,Sun Tracker,Bass Buggy 18 w/ 60 ELPT 4S CT,2020,new,20,,,2019-10-08T17:12:01.000Z,aluminum,other,1,0,,,,19395,177470,LaGrange,US,GA,30241
7045368,https://www.boattrader.com/listing/2019-misty-harbor-biscayne-bay-b-2285cu-103549914/,power,power-pontoon,Misty Harbor,Biscayne Bay B-2285CU,2019,new,22,,,2019-04-10T18:58:30.000Z,aluminum,other,1,0,,,,37175,5525,Nekoosa,US,WI,54457
4554897,https://www.boattrader.com/listing/1998-silverton-41-convertible-102164855/,power,power-deck,Silverton,41 Convertible,1998,used,46,,,2014-01-23T17:44:07.000Z,fiberglass,other,1,0,,,,89900,34373,Pittsburgh,US,PA,15238
7261866,https://www.boattrader.com/listing/2010-yamaha-boats-fx-ho-103709002/,power,power-pwc,Yamaha Boats,FX HO,2010,used,11.07,4.16,,2019-10-24T17:13:07.000Z,fiberglass,gasoline,1,0,,,,6500,31870,Russells Point,US,OH,43348
