id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,city,country,state,zip
7208228,https://www.boattrader.com/listing/2005-tige-22i-riders-103669577/,power,power-sportfish,Tige,22i Riders,2005,used,22,,,2019-09-06T23:39:22.000Z,other,other,1,0,,,,25500,5080,Laconia,US,NH,03246
7170598,https://www.boattrader.com/listing/2020-bennington-23ssbxp-103640850/,power,power-pontoon,Bennington,23SSBXP,2020,new,25,102,,2019-08-05T07:18:19.000Z,other,other,1,0,,,,76788,27369,Red Wing,US,MN,55066
7170548,https://www.boattrader.com/listing/2005-weeres-220-suntanner-103640768/,power,power-pontoon,Weeres,220 Suntanner,2005,used,22,,,2019-08-05T07:18:10.000Z,other,other,1,0,,,,14999,27369,Red Wing,US,MN,55066
7239659,https://www.boattrader.com/listing/2020-monterey-224fs-bowrider-103693088/,power,power-cruiser,Monterey,224FS Bowrider,2020,new,23,,,2019-10-03T23:41:42.000Z,other,other,1,0,,,,39999,27369,Red Wing,US,MN,55066
7170780,https://www.boattrader.com/listing/2019-bennington-23ssrxp-103641042/,power,power-pontoon,Bennington,23SSRXP,2019,new,1,102,,2019-08-05T07:24:06.000Z,other,other,1,0,,,,43387,46516,Wayzata,US,MN,55391
7170516,https://www.boattrader.com/listing/2019-yamaha-boats-sx210-103640801/,power,power-cruiser,Yamaha Boats,SX210,2019,new,21,,,2019-08-05T07:18:06.000Z,other,other,1,0,,,,36499,27369,Red Wing,US,MN,55066
7170571,https://www.boattrader.com/listing/2019-bennington-21ssnpxapg-103640846/,power,power-pontoon,Bennington,21SSNPXAPG,2019,new,23,,,2019-08-05T07:18:14.000Z,other,other,1,0,,,,33235,27369,Red Wing,US,MN,55066
7170589,https://www.boattrader.com/listing/2020-bennington-21ssbx-103640867/,power,power-pontoon,Bennington,21SSBX,2020,new,1,102,,2019-08-05T07:18:18.000Z,other,other,1,0,,,,45020,27369,Red Wing,US,MN,55066
7248651,https://www.boattrader.com/listing/2017-yamaha-boats-190fsh-sport-yacht-blue-103699249/,power,power-cruiser,Yamaha Boats,190FSH SPORT- Yacht Blue,2017,used,19,,,2019-10-11T23:33:04.000Z,other,other,1,0,,,,28999,27369,Red Wing,US,MN,55066
7239693,https://www.boattrader.com/listing/2020-bennington-20sfvsg-103693135/,power,power-pontoon,Bennington,20SFVSG,2020,new,21,,,2019-10-03T23:41:52.000Z,other,other,1,0,,,,20835,27369,Red Wing,US,MN,55066
